CODIGO;DPTO;Municipio;Población menor de 1 año (1);VOP;% VOP;DPT;% DPT;BCG;%BCG;Hepatitis B;% Hepatitis B;Hib;%Hib;Población de 1 año (1);Triple Viral;%Triple Viral
8675;Atlántico;Santa Lucía;266;188.0;70.67669172932331;188.0;70.67669172932331;141.0;53.00751879699248;188.0;70.67669172932331;188.0;70.67669172932331;271;166.0;61.254612546125465
8685;Atlántico;Santo Tomás;430;325.0;75.5813953488372;324.0;75.34883720930232;240.0;55.81395348837209;324.0;75.34883720930232;324.0;75.34883720930232;435;329.0;75.63218390804597
8758;Atlántico;Soledad;10195;7221.0;70.82883766552231;7221.0;70.82883766552231;6444.0;63.20745463462482;7221.0;70.82883766552231;7221.0;70.82883766552231;10317;7409.0;71.81351167975187
8770;Atlántico;Suan;174;156.0;89.65517241379311;156.0;89.65517241379311;90.0;51.724137931034484;156.0;89.65517241379311;156.0;89.65517241379311;175;152.0;86.85714285714286
8832;Atlántico;Tubará;215;124.0;57.674418604651166;124.0;57.674418604651166;118.0;54.88372093023256;124.0;57.674418604651166;124.0;57.674418604651166;215;143.0;66.51162790697674
8849;Atlántico;Usiacurí;189;111.0;58.730158730158735;111.0;58.730158730158735;94.0;49.735449735449734;111.0;58.730158730158735;111.0;58.730158730158735;190;127.0;66.84210526315789
11001;Bogotá D.C.;Bogotá D.C.;118045;111145.0;94.15477148545047;110967.0;94.00398153246643;122304.0;103.60794612224151;111130.0;94.14206446694058;111070.0;94.09123639290101;117581;110882.0;94.30265093850197
13001;Bolívar;Cartagena;17460;21772.0;124.69644902634593;21506.0;123.17296678121421;22339.0;127.9438717067583;21506.0;123.17296678121421;21506.0;123.17296678121421;17552;23518.0;133.99042844120328
13006;Bolívar;Achí;457;592.0;129.54048140043764;543.0;118.8183807439825;472.0;103.28227571115973;543.0;118.8183807439825;543.0;118.8183807439825;451;494.0;109.53436807095345
13030;Bolívar;Altos del Rosario;293;242.0;82.5938566552901;236.0;80.54607508532423;243.0;82.93515358361775;240.0;81.91126279863481;236.0;80.54607508532423;285;226.0;79.2982456140351
13042;Bolívar;Arenal;432;165.0;38.19444444444444;165.0;38.19444444444444;141.0;32.63888888888889;165.0;38.19444444444444;165.0;38.19444444444444;425;161.0;37.88235294117647
13052;Bolívar;Arjona;1402;1216.0;86.73323823109843;1217.0;86.80456490727532;1132.0;80.74179743223966;1217.0;86.80456490727532;1217.0;86.80456490727532;1410;1123.0;79.64539007092199
13062;Bolívar;Arroyohondo;212;91.0;42.924528301886795;90.0;42.45283018867924;54.0;25.471698113207548;90.0;42.45283018867924;90.0;42.45283018867924;212;89.0;41.9811320754717
13074;Bolívar;Barranco de Loba;445;514.0;115.50561797752809;514.0;115.50561797752809;512.0;115.05617977528091;516.0;115.95505617977528;514.0;115.50561797752809;436;543.0;124.54128440366972
13140;Bolívar;Calamar;497;365.0;73.44064386317908;363.0;73.03822937625755;310.0;62.37424547283702;364.0;73.23943661971832;363.0;73.03822937625755;496;324.0;65.32258064516128
13160;Bolívar;Cantagallo;187;188.0;100.53475935828877;188.0;100.53475935828877;121.0;64.70588235294117;189.0;101.06951871657755;188.0;100.53475935828877;186;177.0;95.16129032258065
13188;Bolívar;Cicuco;252;227.0;90.07936507936508;226.0;89.68253968253968;234.0;92.85714285714286;226.0;89.68253968253968;226.0;89.68253968253968;250;280.0;112.00000000000001
13212;Bolívar;Córdoba;337;467.0;138.57566765578636;412.0;122.25519287833828;399.0;118.39762611275964;447.0;132.64094955489614;412.0;122.25519287833828;330;362.0;109.69696969696969
13222;Bolívar;Clemencia;295;331.0;112.20338983050848;331.0;112.20338983050848;319.0;108.13559322033899;331.0;112.20338983050848;331.0;112.20338983050848;292;276.0;94.52054794520548
13244;Bolívar;El Carmen de Bolívar;1776;1292.0;72.74774774774775;1286.0;72.40990990990991;1493.0;84.06531531531532;1286.0;72.40990990990991;1286.0;72.40990990990991;1746;1168.0;66.89576174112256
13248;Bolívar;El Guamo;156;153.0;98.07692307692307;153.0;98.07692307692307;124.0;79.48717948717949;153.0;98.07692307692307;153.0;98.07692307692307;153;146.0;95.42483660130719
13268;Bolívar;El Peñón;219;324.0;147.94520547945206;324.0;147.94520547945206;295.0;134.70319634703196;344.0;157.07762557077623;324.0;147.94520547945206;213;345.0;161.9718309859155
13300;Bolívar;Hatillo de Loba;320;337.0;105.31250000000001;337.0;105.31250000000001;339.0;105.9375;337.0;105.31250000000001;337.0;105.31250000000001;310;323.0;104.19354838709678
13430;Bolívar;Magangué;2760;3007.0;108.94927536231884;3025.0;109.60144927536233;3208.0;116.23188405797103;3025.0;109.60144927536233;3025.0;109.60144927536233;2733;2011.0;73.58214416392242
13433;Bolívar;Mahates;527;435.0;82.5426944971537;418.0;79.31688804554081;411.0;77.98861480075901;441.0;83.68121442125236;418.0;79.31688804554081;522;428.0;81.99233716475096
